Business Name,Business Startdate,City,State,Street Direction,Street Name,Street Number,Street Suffix,Zip,Business Class,Reason for Applying,Latitude,Longitude,Location
TRES CAFE,08/28/2014,CHATTANOOGA,TN,W,53RD,1619,ST,37409,,1 - New Business,,,
HIGHPOINT CLIMBING SCHOOL,12/01/2013,CHATTANOOGA,TN,,BROAD,219,ST,37402,,1 - New Business,35.053996023,-85.311048792,"(35.053996023, -85.311048792)"
IRON PRESS BOOK COMPANY,04/01/2014,CHATTANOOGA,TN,,INGLENOOK,17,DR,37411,,1 - New Business,35.023009345,-85.240590788,"(35.023009345, -85.240590788)"
INE BOUTIQUE,02/23/2015,CHATTANOOGA,TN,,AVENTINE,7257,WAY,37421,,1 - New Business,35.015023967,-85.168530403,"(35.015023967, -85.168530403)"
LA ALTEAN DINER 1,01/01/2004,CHATTANOOGA,TN,W,MAIN,314,ST,37408,,1 - New Business,,,
ARTWORKS BY MELONY,06/21/2002,CHATTANOOGA,TN,E,4TH,2316,ST,37404,,1 - New Business,,,
CLOUD NINE IMAGING,09/01/2009,CHATTANOOGA,TN,,SHALLOWFORD,7405,RD,37421,,1 - New Business,35.0406452570001,-85.148710544,"(35.0406452570001, -85.148710544)"
RIVER CITY MART,07/10/2014,CHATTANOOGA,TN,,BRAINERD,5600,RD,37411,,1 - New Business,35.0097447850001,-85.216483034,"(35.0097447850001, -85.216483034)"
AN LE NAILS,01/09/2004,CHATTANOOGA,TN,,SHALLOWFORD,6925,RD,37421,,1 - New Business,35.044683918,-85.160269034,"(35.044683918, -85.160269034)"
WILSON AIR CONDITIONING SVC INC,08/09/2011,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
FAIRFIELD INN AND SUITES BY MARRIOTT,11/07/2011,CHATTANOOGA,TN,,SHALLOWFORD VILLAGE,2345,DR,37421,,1 - New Business,35.045433556,-85.156058442,"(35.045433556, -85.156058442)"
CENTURY FIRE PROTECTION LLC,05/21/2002,CHATTANOOGA,TN,,WOOD,3011,AVE,37406,,1 - New Business,35.0764401760001,-85.259478534,"(35.0764401760001, -85.259478534)"
CROSS CUT TREE SERVICE,11/10/2010,CHATTANOOGA,TN,,HWY 58,5033,,37416,,1 - New Business,35.0952589500001,-85.176405412,"(35.0952589500001, -85.176405412)"
MHC KENWORTH-CHATTANOOGA,11/21/2005,CHATTANOOGA,TN,,LEE HWY,7831,ST,37421,,1 - New Business,35.0650058260001,-85.127537155,"(35.0650058260001, -85.127537155)"
TUCKER PHOTOGRAPHY,12/08/1992,CHATTANOOGA,TN,,FOREST PLAZA,1144,CIR,37343,,1 - New Business,35.1154829590001,-85.258151852,"(35.1154829590001, -85.258151852)"
CHATTANOOGA WING FACTORY,01/01/2014,CHATTANOOGA,TN,,BROAD,3001,ST,37404,,1 - New Business,35.022407161,-85.319838856,"(35.022407161, -85.319838856)"
TONY MCDANIEL PHOTOGRAPHY,07/01/2009,HIXSON,TN,,ELY,1312,RD,37343,,1 - New Business,35.120905631,-85.263105581,"(35.120905631, -85.263105581)"
MATTRESS CENTER #2,01/01/2014,CHATTANOOGA,TN,,SIGNAL MOUNTAIN,801,RD,37405,,1 - New Business,35.1000418950001,-85.329488944,"(35.1000418950001, -85.329488944)"
PACTOR AUTOMOTIVE,04/01/2007,CHATTANOOGA,TN,,ROSSVILLE,2400,BLVD,37408,,1 - New Business,35.0217888240001,-85.295103572,"(35.0217888240001, -85.295103572)"
EL MACHO TACO,09/01/2014,CHATTANOOGA,TN,,MARKET,811,ST,37402,,1 - New Business,35.046702958,-85.3099534099999,"(35.046702958, -85.3099534099999)"
ESI PROPERTY INSPECTION,01/15/2013,CHATTANOOGA,TN,,VARIOUS LOCATIONS,999,,37402,,1 - New Business,,,
WOODY D ENTERPRISE,06/01/1988,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
STUBBS PROSTHETICS & ORTHOTICS INC,,CHATTANOOGA,TN,,UPTAIN,5715,BLVD,37411-5655,,1 - New Business,35.0104471860001,-85.2108411089999,"(35.0104471860001, -85.2108411089999)"
LOOKOUT LODGING GROUP,04/01/2011,CHATTANOOGA,TN,,CUMMINGS,3801,HWY,37419,,1 - New Business,35.0197019460001,-85.38463017,"(35.0197019460001, -85.38463017)"
KLEEN A MATIC NORTHGATE,01/01/1989,HIXSON,TN,,HIXSON,5211,PIKE,37343,,1 - New Business,35.138091731,-85.2364516499999,"(35.138091731, -85.2364516499999)"
J&J PRODUCE,11/17/2015,CHATTANOOGA,TN,,LEE,5901,HWY,37421,,1 - New Business,35.0230323110001,-85.197867663,"(35.0230323110001, -85.197867663)"
ELEVATION,05/13/2014,CHATTANOOGA,TN,,RIVER,181,ST,37405,,1 - New Business,35.0620762120001,-85.30722149,"(35.0620762120001, -85.30722149)"
SMACKERNASTY RECORDS,04/13/2010,CHATTANOOGA,TN,,DARTMOUTH,1042,ST,37405,,1 - New Business,35.073539741,-85.293544294,"(35.073539741, -85.293544294)"
RAND CONSTRUCTION CORPORATION,10/06/2010,CHATTANOOGA,TN,,VARIOUS,9999,,37402,,1 - New Business,,,
HIGHER LEARNING APPAREL,06/02/2014,CHATTANOOGA,TN,,OAK,1904,ST,37404,,1 - New Business,35.036367689,-85.273769311,"(35.036367689, -85.273769311)"
GIGI'S CUPCAKES & FROZEN YOGURT,05/01/2013,CHATTANOOGA,TN,,FRAZIER,330,AVE,37405,,1 - New Business,35.061923429,-85.305952873,"(35.061923429, -85.305952873)"
GROVE SALON & SPA (THE),08/20/2001,CHATTANOOGA,TN,,EAST BRAINERD,7955,RD,37421,,1 - New Business,,,
RICHARDS PAINTING,10/09/2012,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
HIGDON ELECTRIC,12/07/2012,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
LITTLE COTTAGE OF LEARNING,09/01/2009,CHATTANOOGA,TN,,MONTVIEW,4605,DR,37411,,1 - New Business,35.0202099730001,-85.228519324,"(35.0202099730001, -85.228519324)"
BRENDA'S GROOMING SHOP INC,08/01/2004,CHATTANOOGA,TN,E,BRAINERD RD,8488,,37421,,1 - New Business,35.001537897,-85.137821203,"(35.001537897, -85.137821203)"
M & A SUPPLY CO INC,04/14/2002,CHATTANOOGA,TN,,JERSEY,4349,PIKE,37416,,1 - New Business,35.0725685580001,-85.191660771,"(35.0725685580001, -85.191660771)"
WHITENER HYDRO-SEEDING AND LANDSCAPING,10/01/2000,OOLTEWAH,TN,,OLD LEE,8802,HWY,37363,,1 - New Business,35.083135299,-85.074615804,"(35.083135299, -85.074615804)"
DIVERSIFIED LANDSCAPE/ENGINERR SOLUTIONS,01/01/2001,CHATTANOOGA,TN,,TOWERWAY,3032,DR,37406,,1 - New Business,35.0665208070001,-85.23346695,"(35.0665208070001, -85.23346695)"
ACADEMY SPORTS & OUTDOORS,07/02/2010,CHATTANOOGA,TN,,HAMILTON PLACE,2220,BLVD,37421,,1 - New Business,35.0383619,-85.154335922,"(35.0383619, -85.154335922)"
SUBWAY #37808,02/01/2006,CHATTANOOGA,TN,,GUNBARREL,2020,RD,37421,,1 - New Business,35.0300874210001,-85.153150862,"(35.0300874210001, -85.153150862)"
